score,ulasan
1,"Aplikasi sudah di uninstall tapi tagihan berlangganan tetap otomatis,merugikan sekali,ini namanya pencurian"
1,kenapa tidak ada gtvnya
1,Berbayar semua
1,Ini gimana sih padahal udah bayar premier tpy gk bisa nonton
1,BOSOK MACET²
1,Kenapa ga ada global RCTI/MNCTV/GTV
1,"apk gak guna, gak bisa di play padahal udah berlangganan"
1,Kok disuruh berlangganan platinum saat nonton live BRI lihat 1? Kan sudah ada iklan di aplikasi
1,"Siaran liga Inggris jelek Banget,siarab Terlalu lama Loading😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡"
1,Apasi gk jls sinyal udah kenceng internet jg kenceng tp sering muter muter gk jls dri aplikasinya jdi terganggu buat nnton
1,"Sunggu sangat mengecewakan..saya mau perpanjang paket platimum..tapi gagal terus,&perbaiki dulu lah jaringannya..sering banget gak bisa dibuka paketannya..apalagi kalo mau nonton liga inggris..gak bisa diputar..sangat mengecewakan sekali..sangat menyesal saya berlangganan vidio"
1,Versi terbaru loading lama
1,"Gw ga suka iklan dari Vidio seperti open bo,scandal 2,pokoknya yang ada konten dewasa.Apalagi klu nontonnya di tv bareng keluarga,gimana?"
1,"Aplikasi nonton suka loading lama walaupun paket premium sekalipun. Gak seperti app lain seperti hostart lancar jaya. Ia pula melihat rating update 3,7 . Mungkin kenyamanan pemakai tidak terlalu penting ketimbang uang hasil pembayaran untuk paket premium dll. NYESEL berlangganan, auto UNINSTALL APK."
1,sudah bayar langganan paket diamond ttep saja suruh langganan lagi?? woii goblogggkkk aplikasi anjink....!!! sudah keluar duit gk bisa nnton live stream... taii...!!!
1,"Baru nyobain langganan, ternyata keluhan yg sama di baca baca penilaian rating."
1,Jelek banget
1,Bintang 1 dulu karena tidak bisa pilih kualitas video
1,"saya kasih bintang 1, kualitas jaringan buruk, selalu error disaat streaming, provider saya jaringan bagus, buka youtube 1080 lancar jaya, ini buka aplikasi video 1080 dikit dikit error, kecewa konsumen."
1,"Aplikasi aneh,baru mulai 3 detik udah gangguan"
1,"lambat sekali penanganannya, datang dong ke lokasi...ga bakalan berlangganan lagi"
1,udah bayar tapi gak bisa nonton. Hati hati
1,Udah langganan diamond tapi tiba tiba langganan hilang terus sekarang gak bisa nonton liga inggris. Aneh banget sia sia udah langganan
1,jelek
1,Sering error
1,Layar video hitam... Bayar mahal
1,"Kecewa sekali nonton bola lag parah, makin di updete bukannya malah bagus ini malah tambah mengecewakan"
1,Jelek amat
1,Sebelum diperbarui bagus-bagus aja setelah di perbarui jadi jelek banget apps-nya
1,Aplikasi kambing not rekomended
1,"Paket habis, giliran mau perpanjang mabual pilih paket ndak bisa bayar error mulu ket sudah langganan tapi di klik terus gak bisa2 apk jelek"
1,Aplikasi tolool
1,Aplikasi tai...sinyal sempurna dibut nonton cuma muter muter doang..anjink
1,Senang melihat orang susah kntl!
1,"Uninstall saja lah,, nonton bola udh mulai minta paket premium .. hahaha"
1,Aplikasinya kebanyakan loading padahal jaringan bagus.dan klaw putar video sering berhenti sendiri..
1,sy udh bayar tapi tidak aktif
1,Akhir2 ini susah buat nonton EPL juga NBA. Mohon solusinya dong. Sebagai pelanggan merasa DIRUGIKAN.
1,"Mohon diperbaiki sistem nya, paketan ada dan lancar tp kenapa pada saat nonton gambarnya patah patah, pakai wifi pun sama, dan sering kali buffering. Dulu sangat bagus aplikasi ini, sekarang mohon maaf kurang bagus bahkan buruk"
1,"Kata nya nonton gratis,padahal egak mau nonton kelanjutan flim yg kita sukai e.... Harus nonton premium yaela' gak bagus ni aplikasi JELEKKKKKKKKKKKKKKKKKKKKKKLKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK"
1,Sekarang mah gk bisa beli paket primer pake pulsa gk jelas emang
1,udah berlangganan tapi paket premier ga aktif.
1,Versi baru video kok buruk saya melihat siaran rtv kok gak bisa di ulang lagi siarannya tolong diperbaiki developer dan nama saya farhan itu akun ayah saya
1,"Sudah lama berlangganan diamond,tp skrg streamingnya buruk sekali,patah2 terus,rugi sy kalo harus di lanjutkan jd langganan dengan kualitas rendah!!!"
1,"Aplikasi babi ngrugiin orang paket blm satu bulan udh angus dih amit"" mndg langgangan aplikasi lain komit sebulan y sebulan blm ada sebulan qo udh angus apa""n itu"
1,Udah beli pulsa cukup masih aja gak bisa aneh
1,"Tolong perbaiki masalahnya,"
1,Apk apaan buang buqnh duit gua udah berlangganan platinum ko gabisa dipake percuma nyesel
1,Burik kya kirik
1,"Sekarang kok ga bisa nonton bri liga 1 pdahal saya udah berlangganan, pas mau nonton prtandingannya malah videonya ga mau muter, terus layarnya cma berwarna hitam,,, saya udah berulang kali kirim laporan tpii msalahnya masih sama gitu"" aja, nonton video lain lancar, cma nonton bri liga 1 aja yng bermasalah, mohon perbaikan segera min"
1,"Saya sudah bayar berlangganan tapi di beranda masih harus membeli berlangganan, aplikasi apaan coba ini"
1,"Gak jelas, sering berhenti saat live, kudu beli paket berlangganan"
1,Tolong dong saya udah beli paket platinum tanggal 02 februari udah lunas tapi paket enggak masuk² malah keterangan gagal.. Saya pengen uang yang udah saya tf di refund kalau enggak juga di aktifkan paketnya
1,Sekalian aja adain film bokep biar rame bro yok bokep nya di adain Yo .. apk sampah
1,"Susah mau beli paket juga,, najis"
1,"Paket primer aktif,sinyal bagus,mau nonton persib gak bisa,perangkat tidak di dukung terus,,, teu ngarti"
1,"Nii aplikasi tiba2 men potong gopay aja, padahal udah bayar paketnya via pulsa telkomsel.."
1,"Makin sini makin lemot yahh, padahal jaringan biasa² ajah kok selalu berhenti sendiri?"
1,sangat buruk
1,Sangat buruk masa harus beli premier
1,pembayaran menggunakan pulsa eror terus...bikin kecewa
1,Buruk setelah diupdate
1,"Hati hati buat kalian yg daftar langganan 32rb sebulan Jgn terkecoh, di layar jelas tertulis bs livestreaming liga 1 Faktanya hoax. Faktanya Liga 1 mode gelap yg terjadi Gak bs di buka sama sekali. Kapok"
1,Ini kenapa Bein sport streamingnya ngefrezz tapi suaranya lancar
1,Saya sudah berlangganan paket tapi ga bisa dipake nonton pertandingan. Ga jelas banget ini vidio
1,"Akhir-akhir ini mengapa vidio kacau? Padahal sampai Desember lancar saja. Apakah masih dalam perbaikan? Saya sudah berlangganan paket diamond khusus hp & tablet untuk 1 bulan, tetapi tidak bisa membuka champions tv dan bein sports, bulan depan coba paket diamond yang untuk semua perangkat, dan kalau masih kacau saya kecewa."
1,Nyendat
1,"Mau langgana aja susah bgt terjadi kesalajan terus"""
1,Kebanyakan iklan bget
1,Ini kenapa buat nonton patah2. Gak like banget
1,Apk apaan setelah apdate mkin burikk
1,Mau nonton LIGA INGGRIS aja susah bener....padahal sudah berlangganan...Tanggung JAWABNYa mana ini ADMIN/CS APK VIDIO......PERCUMA BAYAR BULANAN KALO TIDAK BISA DI MANFAATKAN...!!!!👎👎👎
1,"Susah streaming premier league, padahal sudah bayar langganan!!"
1,Lama load
1,"sudah bayar tapi tidak bisa melihat premium, mohon bantuannya pihak vidio"
1,"Parah udah di updet malah ga bisa di putar , yg bisa di putar cuma yang gratisan aja, padahal udah beli paket 2 paket malah ga bisa di putar, kecewa sangat ."
1,"DIKIT"" SURUH BAYAR BERLANGGAN PREMIER ,. PADAHAL UDAH BNYAK IKLAN DI DALAM VIDIO ,."
1,"Saya tidak bisa memutar Vidio, saya sudah berlangganan dan koneksi jaringan saya bagus tapi tidak bisa nonton."
1,Kenapa yang vidio sekarang kalo nonton siaran ulang di smart tv pas bagian iklan biasanya cuma gelap beberapa menit trs mulai lanjut lg sinetronnya ke adegan berikutnya. Tapi skrg malah sllu balik lg ke awal sinetron mulai. Kenapa? Kenapa? Jadi gak seru bgt. Jd ga bisa nonton ulang 😭😭😭😭😭😭😭😭😭😭
1,"Kenapa ko sekarang susah bgt langganan pulsa cukup, goggle play pdahal udah di update minta, mohon bantuannya"
1,"Aplikasih sampah, nonton paket piala dunia, pas final malah rusak."
1,Gk nyaman bgt sm apk vidio kadang2 bikin ngeleg dan loading lama bgt jd gk nyaman sm apk video 😡
1,Jangan Dowload nanti menyesal
1,APLIKASI GA JELAS!!!!!! LOADING MULU PADAHAL JARINGAN LANCAR
1,Jaringan bagus. tapi banyak patah
1,Kirain film durasi nya full semua ternyata cuma 6mnt 1 mnt 3mnt hahaha
1,"kurang memuaskan udah langganan diamond siaran bolanya gamuncul, kecewa banget."
1,Syebal update nomor HP error mulu dasarrrr menyebalkan.. katanya terverifikasi dasarrrr menyebalkan ni aplikasi
1,Lag ampas banget
1,"km dulu bagus lho,, knpa sekarang jadi jelek ??"
1,Setelah update malah ngelag ngelag
1,bug+iklan
1,Kenapa pas nonton kebanyakan loading nya bosen tau gak bisa lancar dikit dikit loading yang nonton males tau bikin bad mood aja nih aplikasi tolong ya di perbarui lagi biar gak loading terus padahal jangan udah bagus masih aja loading
1,versi baru sangat buruk berlangganan pake pulsa susah banget gak kaya dulu padahal sudah lama saya pake vidio ini malah makin buruk apk nya. tolong perbaiki.
1,Lagggggggggg
1,tolong resolusi film nya di hd in lagi dan color grading nya lebih hd
1,Apk pencuri saldo woy kok saldo ovo ku kepotong truss kan padahal cuma berlanggan 1× masak habis 4jt dasar apk korupsi
1,Ini mau berlangganan paket epl kok g ada ya?? G ada pilihan nya?
1,"Maaf ga mau kasih bintang.... Sy dah beli diamond nonton liga inggris, tapi pas live ga muncul.... Kecewa bangeet sama aplikasi ini, sangat mengecewakan...."
1,"""Film2nya jaman nenek gw masih pacaran,dh gitu dibikin PRIMER,...😒(bayar) sekalian aje Film BONEKA si UNYIL dibikin PRIMER,...WOOIYY,...Mending Gue langganana NETFLIX kaleeees...!!""Ngentooot buka live tv,loAaaaadiiiiing,muterrrrrrr,muteeeer,ky orang nyasarrrrrrr....."
1,BARU KALI INI ADA APLIKASI DUNGI!!!!!!APLIKASI TERBODOH DAN BIKIN ORANG MUAK!!!!!!!! BAGI YG BLM DAFTAR PREMIUM MENDING TIDAK DAFTAR DRPD KECEWA. APLIKASI YANG MERUGIKAN ORANG!!!!!!!!!!
1,Sering buffering saat nnton live l
1,Aplikasi terbarunya jelek. Biasanya setiap hari ada tayangan vidio nonton duluan terbaru. Ini sekarang hanya tampilan yang lama lama aja. Yang beneran terbaru nd ada
1,"Aplikasi gajelas, udah diupdate makin buruk Sia-sia berlangganan!"
1,Iklan nya makin ksni makin parah ... Kecewa bgt
1,Banyak iklannya👎👎
1,BELI PAKET PIALA DUNIA QATAR2022 TUK SEBULAN TAPI TAHUN 2023 MASIH MOTONG SALDO SHOPEE SAYA EMANG PIALA DUNIA SEPANJANG TAHUN...
1,Beli paket malh g jadi pdhl uang udah kepotong lol
1,"Masalahnya bnyk bnget nhi apk, 1. Iklan nya bikin greget setiap 15 menit an ada aja iklan ga BS di skip pula 30 detik, 2. Ini yang paling fatal sih menurut ku di pencarian gw belum pernah Nemu pencarian yang ga relevan kyak punya Vidio nhi smph si fatal bgt parah developer tolonggg astafirlah, 3. Di anime nya Adain genre atau list gitu jadi gampang cari anime belajar lah dari bstation. Fix pindah bli bli -_"
1,"Memang benar feporma vidio jelek,..kalo kaya gini truss.banyak lagi yang ngga suka dan ada kemungkinan ngga laku ni aplikasi"
1,"Aplikasi penipu ini gua udah beli paket melalui ovo, ternyata kode nya tidak bisa di tukar... Lenyap duit gua.... Kembali kan tontonan televisi ke rakyat tnp harus bayar yg akhirnya byk aplikasi penipu macam vidio ini"
1,Aplikasi gak bermutu video putus putus trus ngulang aja dari awal lagi nonton nya mending gua hapus aplikasi seperti ini buang buang memori aja
1,Jaringan lancar masa loading mulu videonya
1,Membingungkan
1,Apk nya gak enak masak 2 menit iklan 7x Udah gitu macet macet lagi
1,"aplikasi ga jls,"
1,Jelek
1,"Tidak memuaskan sama sekali aplikasinya,pembelian paketnya ribet"
1,Payah uda bayar paket tapi ga bisa di buka premier
1,Loadung lama bnyak bug perbaiki lagi
1,Gmn si setelah di up bukannya makin bagus malah jelek
1,Nonton paket premium aja Patah2 pake wifi 50mbps masih patah2..parah abis.. Dulu bagus sebelum piala Dunia..
1,Malah stuck di tampilan refresh terus..
1,Welehh.. instal ulang gak kelar2 loading.. kuota udah terpotong.. nyeselll EUY.. ribet
1,"Jelek aplikasinya, mahal juga kuotanya"
1,Pernah kritik di chat. Klo mau ramai tolong siarkan pertandingan NBA yg banyak fans nya dong. Eh Langsung di mute admin. Aneh mmg. Sejak saat itu saya berhenti berlangganan vidio !!! Dasar admin cacat alergi kritik. Gimana mau maju ???
1,"APLIKASI TERBURUK YANG PERNAH SAYA TEMUKAN!!! SAYA SUDAH MENDOWNLOAD BEBERAPA EPISODE DAN MEMAKAN SIZE YANG BANYAK, BISA² NYA PAS SAYA MASUK AKUNNYA HILANG? SAYA MENCOBA LOGIN TAPI VIDEO YANG SUDAH DIDOWNLOAD HILANG BINTANG 1 LAH"
1,"Jaringan saya lancar, tapi kenapa saat saya memutar/menonton video/film sering lag banget kaya jaringan tidak setabil padahal jaringan saya sangat stabil."
1,"Loading lama, masa selalu eror di jaringan"
1,Jelek
1,Ngak bisa kebuka vidionya saya kecewa
1,Afk ga guna anjjjuter mulu padahal sinyal bagus
1,Kenapa udh langganan premium jga nnton msih lag lag macet kek gtu
1,"sudah berlanggan ke platinum , lhat flim terputuss .. padahalan aplikasi ini dlu gak seperti inii .. gak lncar kyk wetv dan lain*nyaa"
1,APLIKASI ANJINGGGGGGGGGGG JGN DOWNLOAD APLIKASI INI KALAU GK MAU NYESELL BABIIII👺👺👺👺
1,"Loading nya lama, pdhal sinyal baguss, mana udah beli premium, pokok nya kecewa"
1,"Parah lag teruss, padahal wifi bar nya full"
1,"Beli pake platinum 2 kali, tapi dua dunya gak bisa diklaim, udah terus terusan komplain jawaban nya itu itu mulu sampe dajjal keluar, udah sebulan lebih gada pertanggung jawaban sama sekali🤣😂😂😂udah kalah jauh kalian sama mola,RCTI+ dll, aneh nyaa permasalahan yang sama kaya saya udah banyak terjadi, tapi gada perbaikan sama sekali😂🤣🤣🤣🤣 bobrok kalian,nyediain ig buat komplain gak guna banget sebulan lebih masih gt gt aja🤣😂🤣🤣🤣"
1,"No 1 terlaris tapi kualitas app nya ga kayak app no 1. Iklan super banyak dan film yg tayang di tv ga lengkap disini contohnya serial India di tv, yg tadinya harusnya full durasinya diapp ini tayangnya cuma di tengah2 dan ga selalu sampe akhir film dan setiap acara selalu tercampur videonya dengan acara lain, pantes app ini banyak komplainnya daripada pujiannya, cuma kualitas gambarnya aja yg bagus sisanya jelek banget"
1,Knp si harus bayar setiap nonton bola kesukaan saya padahal pengen liat🥺
1,"Sebelumnya lancar2 aja,,sekarang loadingnya lama banget,,padahal saya udah pake wifi"
1,"padahal paket platinum, tapi kok gak bisa streaming aneh"
1,Sangat buruk
1,Jelek elor
1,Mau nonton live streming bola ga bisa2..
1,"Saya sudah paketan primer tapi semua video film gak bisa diputar cuma ada warna hitam putih, udah gak kaya dulu lagi sekarang ribet eror"
1,Selalu muncul tebak game trs ga bisa nonton gratis ternyata
1,Leg mulu tiap nonton bola
1,Lagi streeming malah jadi gak ada...burik amat apk nya tolol...
1,👎👎
1,Apk gk jelas ampasss mending nongton di TV jadul ketimbang nongton di HP keren vidio burik gada taeek
1,SINYAL BAGUS APLIKASI NGELAG !!! KAGA GUNA LU
1,Celak bener kali
1,Serba berbayar tidak seperti dulu
1,Liga 1 gak bisa di tonton percuma gue download jufa
1,Buruk. Streaming patah patah
1,Buruk
1,Lemah...
1,Taik semua harus bayar gak usah download
1,"Dapet promo gold nonton gratis 30hari dari Smartfren karna ambil quota unlimited 12GB,Pas di buka branda lah trailer smw cuma durasi 6menit smw... Kalo kgk niat kasih promo mending jangan kasih Hak Bundling promo, kalah saing tar sama apk lain... Serius"
1,"maunya minta bintang 5 tapi apk nya buruk mau nonton harus beli paket,, di tambah saya liat2 di coment banyak yang kecewa ternyata bener apk nya sangat buruk pantes banget di uninstal"
1,Parah sihh episode² penting sllu ga bisa di putar padahal sudah bayar paket berlangganan
1,Kebanyakan judul flem yg tidak dapat di putar
1,Apaan mulai jeleek masak vitur game ku hilang entah kemana padahal yang laen ada semua cuma vitur games dibuka langsung hilang
1,"Film diputar ke pause dan mulai dari awal lagi, terus menerus"
1,Lambat dibuka
1,Sudah langganan tapi tidak tersedia paket sedangkan di gmail terbaca langganan
1,"Kebanyakan iklannya sama aja kaya nonton di tv, udah gt tayangan sinetron yg udah mau berakhir abis wktnya di pake utk iklan..."
1,Ksih bintang 1 dulu ya soalnya buram bnget pdhl bagus2 bnget filmny tp slah nya yai itu...buram
1,Gajelas kenapa sih kalau Nonton harus bayar gajelas banget
1,"Aplikasi unfaedah, nyampah d aplikasi lain"
1,Aplikasi nya gak bisa dipakai di HP Oppo sangat menyecewakan
1,"Bingung dah, Capek nyari film taunya gak sesuai paket. Kalau ada pilihan paket paling gak di list film mana yang bisa ditonton sesuai paket biar gak tebakan tebakan. Aplikasi paket apa aplikasi nonton film sih ? Mood ilang duluan karna capek nyari film sesuai paket! ~memberbaru"
1,Apk ga jelas
1,Videonya ga bisa berputar
1,kenapa setelah d update tampilan videonya nge lag ya? gak lancar
1,Belum dicoba
1,Pembayaran ribet
1,Sudah langganan primer malah tidak bisa konten EPL
1,Apk tolol film gak bermanfaat sekali cerita dewasa tentang cinta percuma bikin cerita dewasa tapi yang nonton anak kecil bikin generasi rusak
1,Selalu nyedat2
1,Aplikasi babi
1,"sama sekali tidak bekerja sama lagi dengan provider A..S, yang katanya bisa gratis platinum mobile."
1,"Heran deh nonton live streaming kok sering bgt patah2 klk pake wifi padahal wifinya kenceng, aplikasi lain aman aja, boros kuota kan jadinya"
1,"Aplikasi nya buruk bngt terlalu banyak iklan,, apalagi klo koneksi internet agk buruk,, filmnya ngulang lagi dari awal. Terus tiap nonton mau selesai suruh beli paket apaan dah,, intinya kecewa banget sm apk ini. Kukira bagus ternyata buruk🥲😭"
1,"Knpa paket yg 1bulan ga bsa dipake.?? Udah aku instal trs download lg tp msih ttep sama aja ga bsa. Tlng solusinya dong, aplikasi lain ga seribet ini klo mau dftar paket ataupun prpanjang paket"
1,Untuk siaran tv di digital tv suasta di palembang kab muara enim ngk ada sinyal untuk emtek indosiar mentari tv sctv moji tv pdahal bnyk yg nnton acara emtek krna bnyk penonton dr prabumulih mohon perkuat sinyal tv digital ny
1,Aplikasi g jelas Uda kita beli paket tapi g bisa nonton
1,"filmnya ga lengkap, sekali nyari yg keluar video upload dari user"
1,"Nanya tiket kog, di blok... Admin payah 👎"
1,Admin sampah haha
1,Tolong di perbaiki yah saya sudah berlangganan tapi ketika mau bayar eror eror terus
1,Kenapa sy ga bisa daftar paket platinum
1,"Gak perlu di download, materinya hanya bisnis aja"
1,Mau beli paket platinum tapi eror terus.. payah.. padahal pulsa ada Rp 34000.. sangat mengecewakan
1,Satu dulu
1,"Video buffering,diputar patah patah ,gak.lancar"
1,"sangat sangat kecewa app ny,masa udh di unduh tiba"" hilang,bukan sedikit kuota yang dipake buat unduh nya dasar app busuk"
1,Saya sudah berlangganan paket diamond epl + platinum yg khusus hp baru tanggal 4 kemaren lah kok kemaren malem mau nonton liga inggris ga bisa ? Gimana ko bsa bgtu tolong jawab saya sudh berlangganan tp blm lama tp skrg dh ga bsa nonton liga inggris pdhl baru aja kmrn berlangganan !!!!
1,Selalu keluar Mulu Vidio nya
1,"Apk ini jelek Karena berbayar, kalo gratis nanti bintang 5"
1,Kenapa sih kadang putar video nya delay dan terhenti. Video dan suara gak sinkron. Padahal premium
1,Sering patah-patah.loading nya lama saat live bola.mengecewakan.
1,"Ini kenapa ya padahal sudah tidak ingin berlangganan, tetapi koq masih ada ja ya pemotongan di shopipay saya ini , bagaimana ini saya merasa dirugikan padahal saya ingin berhenti tetapi selalu ada pemotongan , apk apa ini"
1,"Banyak iklan, tiba tiba berhenti memutar di saat lagi nonton"
1,"Kecewa bangat...!! Film tiba-tiba tidak bisa diputar untuk episode berikutnya, tanpa ada penjelasan.."
1,"Game bola fantasy, sering setelah pertandingan tiba2 hasilnya dibatalkan, udah susah patah nyusun tim, tiba-tiba selesai pertandingan kuis dibatalkan"
1,Kenapa setelah update jadi patah patah ya pas lagi streaming.
1,"parah aplikasi milenial jaman now yg miskin kreatifitas dan berjiwa teroris serta sangat tidak berbobot film filmnya bikin ngakak parah!!!"" penuh cerita yg tidak masuk akal yg berisi sindiran/hinaan kepada individu yg dibenci karna tidak berpunya kedua orangtua sang aplikasi membuat film film fitnah penuh ujaran kebencian disebabkan lulus kuliah karna nyontek alias nyolong(maling) jawaban. AYO DONG! kaum milenial dibidang seni membuat acara hiburan lebih kreatif lagi tanpa menyontek/menjatuhkan."
1,Kenapa gak bisa buka yaa
1,Meresahkan
1,"padahal udah beli paket primer tapi tetap gak bisa di pakek paket primernya,tolong dong di perbaiki"
1,Dimana saya mau melanjutkan nonton episode berikutnya ehhh malah menghilang dengan alasan tidak di temukan ..
1,Apl gak guna
1,Beli paket ribet
1,Aplikasi dodong . Terlalu banyak iklan
1,Aplikasi gak jelas nonton bola harus bayar 32.000rb gak kasihan sama yang belum bayar masa gitu aja bayar
1,"Aplikasi bego bat dah, sudah transfer by gopay, paket yang 59.000 plus ppn jadi 65.490, di email gopay sudah berkurang di google play juga ada struk pembelian, tapi di akun vidio masih gak ada langganan, buang buang waktu, ga guna banget nih aplikasi"
1,💩💩💩💩👎👎👎👎Mau membeli paket platinum dengan harga Rp 29000 Tidak bisa melakukan transaksi Padahal pulsa Rp33.000 Jelas pembayaran sebesar Rp 32.750 Memang apk penyedot pulsa mengambil pusa lebih dr ppn yg ditentukan Apk gak benar Karena pernah saya membeli yg seharusnya tetal dgn ppnnya sebsar 79rb tp kemudian tersedot bisa sampai 100an ribu oleh vidio Apk gak benar👎👎👎👎💩💩💩💩💩
1,Up
1,Tidak memuaskan 🙏
1,Button susah di pencet
1,Kebanyakan iklan nggk jls
1,Pas komentator lancar jaya waktu pas main bolanya gambar hilang cuma ada suara..kyk denger radio..auto uninstall
1,Sinyal 4G tapi loading terus aplikasi nya
1,Kurang lengkap
1,"Jangan juga kelewatan pasang iklan, ke banyakan iklan"
1,Serasa nonton iklan bukan nonton film yg ingin kita tonton.dah lh mending UNINSTALL aja nih apk GC jelas.
1,Aneh saya sudah bayar tapi nggak masuk'
1,Super loding banget. pakek wifi juga tetep. Udah berlangganan juga tetep gak bisa nonton. 😡😡
1,Lemot parah ini aplikasi... Ga jalan sama sekali... Padahal sebelumnya ud bagus... Saya coba install ulang malah sama sekali ga bisa login... Dari tadi jam 7 pagi sampe jam 11 dicoba berulang2 ga bisa2... Mohon diperbaiki... Saya mau selesai in nonton para pencari Tuhan... Mana ga ada di aplikasi lain...
1,Yng bner dong
1,Aplikasi baik untuk di uninstall baru liat aja iklan nya 5 baru 3 detik liat video udah ada iklan nya pasti yg download ini nyesel aplikasi ga berguna apaan siapa sih yg bikin 🗿
1,Sangat menyebalkan aplikasinya
1,"gangguan nih,,, haduh"
1,Sampah gausah di intall
1,"Sekarang kok patah patah, gak kaya dulu"
1,Paraaah
1,Aneh saya udalah langganan masih aja di minta langganan
1,Gwe udah bayar pake livin tapi kodenya ga bisa di pake ASUUUU TOLONG JANGAN DOWNLOAD VIDIO APK ASUUU
1,"Benerin dong masa udah berlangganan sering eror trus ,, bela belain beli biar bisa nonton premier league dan lain nya masih aja sering eror Gak gratis loh kalo gratis ya gak apa apa mau eror tiap hari juga ini kan bayar"
1,"Patah"" terus setiap mau nonton bola liga 1 kualitas nya jelek!!"
1,"nonton bola sering lag, komentator nya aja lancar vidio nya diem, kaya radio"
1,Aplikasi gak jelas
1,"beli paket platinum,sisa nya iklan...g bsa nntn live hadehh"
1,Aplikasi nya setiap mau nonton selalu di potong dan iklan nya tuh buanyak
1,"Padahal pake WiFi bisa gagal masuk, sering buffering, sering eror"
1,"Pas Nonton Lag Mulu Kenapa Sih Padahal Jaringgan Bagus Tapi Lag Mulu Males Dah Sama Apk Nyaaa Buang Buang Waktu Lag Mulu,,,,Iklan Nya Lagi Banyakkkk."
1,Satu dulu baru coba soalnya
1,"Katanya promo pas mau beli harga sama, blok"
1,Jellek
1,"Dikira cuma punya saya yg macet2an, ternyata dari app nya 🙏"
1,Aplikasi jelek 😭😭😭😭😭semenjak download aplikasi ini hp gw sering ngefrem padahal tadi nya lancar lancar aja main ml lancar semuanya lancar tapi kenapa semua aplikasi gw tidak menanggapi kayak nya ini banyak virusnya kesel😠
1,Kenapa sekarang bayar yg berlangganan gak bisa pake pulsa???
1,Aplikasi video iklannya kek sampah banyak bnr. Dikit dikit iklan. Itumh bukan nonton video tapi nonton iklan aja
1,"sering loading padahal paketan banyak sinyal lancar, lebih bagus yang dulu"
1,Parah sih
1,iklan super duper buanyak akhirnya uninstall aja ....
1,"SANGAT SANGAT MENYESAL download APLIKASI INI = ASLI 1000 persen BOHONG , anda jangan mau d GOBLOKIN oleh APLIKASI INI . sudah cukup saya aja yg terakhir TITIK"
1,"sangat buruk , nonton di video terulang ulang terus ,kembali ke awal trs ,bnyk iklan nya"
1,"komentarnya saja pada negatif, aplikasi ampas. saya sudah download video kemaren dan sekarang malah hilang. dan harus download ulang atau nonton dengan data. sedangkan nonton dengan data banyak loadingnya banyak iklannya."
1,Parah banget dah. Aplikasi gk jelas. Nonton film baru 1 menit. Iklannya sampe 10 kali 😭.
